t=0.000 psi=90.000 ksi=0.000 v_p=0.248  d= 0.037
t=8.250 psi=40.500 ksi=99.000 v_p=0.000  d= 0.947
t=8.400 psi=39.600 ksi=100.800 v_p=0.000  d= 0.947
t=8.550 psi=38.700 ksi=102.600 v_p=0.000  d= 0.947
t=8.700 psi=37.800 ksi=104.400 v_p=0.000  d= 0.947
t=8.850 psi=36.900 ksi=106.200 v_p=0.000  d= 0.947
t=9.000 psi=36.000 ksi=108.000 v_p=0.000  d= 0.947
t=9.150 psi=35.100 ksi=109.800 v_p=0.000  d= 0.947
t=9.300 psi=34.200 ksi=111.600 v_p=0.000  d= 0.947
t=9.450 psi=33.300 ksi=113.400 v_p=0.000  d= 0.947
t=9.600 psi=32.400 ksi=115.200 v_p=0.000  d= 0.947
t=9.750 psi=31.500 ksi=117.000 v_p=0.000  d= 0.947
t=9.900 psi=30.600 ksi=118.800 v_p=0.000  d= 0.947
t=10.050 psi=29.700 ksi=120.600 v_p=0.000  d= 0.947
t=10.200 psi=28.800 ksi=122.400 v_p=0.000  d= 0.947
t=10.350 psi=27.900 ksi=124.200 v_p=0.000  d= 0.947
t=10.500 psi=27.000 ksi=126.000 v_p=0.000  d= 0.947
t=10.650 psi=26.100 ksi=127.800 v_p=0.000  d= 0.947
t=10.800 psi=25.200 ksi=129.600 v_p=0.000  d= 0.947
t=10.950 psi=24.300 ksi=131.400 v_p=0.000  d= 0.947
t=11.100 psi=23.400 ksi=133.200 v_p=0.000  d= 0.947
t=11.250 psi=22.500 ksi=135.000 v_p=0.000  d= 0.947
t=11.400 psi=21.600 ksi=136.800 v_p=0.000  d= 0.947
t=11.550 psi=20.700 ksi=138.600 v_p=0.000  d= 0.947
t=11.700 psi=19.800 ksi=140.400 v_p=0.000  d= 0.947
t=11.850 psi=18.900 ksi=142.200 v_p=0.000  d= 0.947
t=12.000 psi=18.000 ksi=144.000 v_p=0.000  d= 0.947
t=12.150 psi=17.100 ksi=145.800 v_p=0.000  d= 0.947
t=12.300 psi=16.200 ksi=147.600 v_p=0.000  d= 0.947
t=12.450 psi=15.300 ksi=149.400 v_p=0.000  d= 0.947
t=12.600 psi=14.400 ksi=151.200 v_p=0.000  d= 0.947
t=12.750 psi=13.500 ksi=153.000 v_p=0.000  d= 0.947
t=12.900 psi=12.600 ksi=154.800 v_p=0.000  d= 0.947
t=13.050 psi=11.700 ksi=156.600 v_p=0.000  d= 0.947
t=13.200 psi=10.800 ksi=158.400 v_p=0.000  d= 0.947
t=13.350 psi=9.900 ksi=160.200 v_p=0.000  d= 0.947
t=13.500 psi=9.000 ksi=162.000 v_p=0.000  d= 0.947
t=13.650 psi=8.100 ksi=163.800 v_p=0.000  d= 0.947
t=13.800 psi=7.200 ksi=165.600 v_p=0.000  d= 0.947
t=13.950 psi=6.300 ksi=167.400 v_p=0.000  d= 0.947
t=14.100 psi=5.400 ksi=169.200 v_p=0.000  d= 0.947
t=14.250 psi=4.500 ksi=171.000 v_p=0.000  d= 0.947
t=14.400 psi=3.600 ksi=172.800 v_p=0.000  d= 0.947
t=14.550 psi=2.700 ksi=174.600 v_p=0.000  d= 0.947
t=14.700 psi=1.800 ksi=176.400 v_p=0.000  d= 0.947
t=14.850 psi=0.900 ksi=178.200 v_p=0.000  d= 0.947
t=15.000 psi=0.000 ksi=180.000 v_p=0.000  d= 0.947
t=15.150 psi=-0.900 ksi=181.800 v_p=0.000  d= 0.947
t=15.300 psi=-1.800 ksi=183.600 v_p=0.000  d= 0.947
t=15.450 psi=-2.700 ksi=185.400 v_p=0.000  d= 0.947
t=15.600 psi=-3.600 ksi=187.200 v_p=0.000  d= 0.947
t=15.750 psi=-4.500 ksi=189.000 v_p=0.000  d= 0.947
t=15.900 psi=-5.400 ksi=190.800 v_p=0.000  d= 0.947
t=16.050 psi=-6.300 ksi=192.600 v_p=0.000  d= 0.947
t=16.200 psi=-7.200 ksi=194.400 v_p=0.000  d= 0.947
t=16.350 psi=-8.100 ksi=196.200 v_p=0.000  d= 0.947
t=16.500 psi=-9.000 ksi=198.000 v_p=0.000  d= 0.947
t=16.650 psi=-9.900 ksi=199.800 v_p=0.000  d= 0.947
t=16.800 psi=-10.800 ksi=201.600 v_p=0.000  d= 0.947
t=16.950 psi=-11.700 ksi=203.400 v_p=0.000  d= 0.947
t=17.100 psi=-12.600 ksi=205.200 v_p=0.000  d= 0.947
t=17.250 psi=-13.500 ksi=207.000 v_p=0.000  d= 0.947
t=17.400 psi=-14.400 ksi=208.800 v_p=0.000  d= 0.947
t=17.550 psi=-15.300 ksi=210.600 v_p=0.000  d= 0.947
t=17.700 psi=-16.200 ksi=212.400 v_p=0.000  d= 0.947
t=17.850 psi=-17.100 ksi=214.200 v_p=0.000  d= 0.947
t=18.000 psi=-18.000 ksi=216.000 v_p=0.000  d= 0.947
t=18.150 psi=-18.900 ksi=217.800 v_p=0.000  d= 0.947
t=18.300 psi=-19.800 ksi=219.600 v_p=0.000  d= 0.947
t=18.450 psi=-20.700 ksi=221.400 v_p=0.000  d= 0.947
t=18.600 psi=-21.600 ksi=223.200 v_p=0.000  d= 0.947
t=18.750 psi=-22.500 ksi=225.000 v_p=0.000  d= 0.947
t=18.900 psi=-23.400 ksi=226.800 v_p=0.000  d= 0.947
t=19.050 psi=-24.300 ksi=228.600 v_p=0.000  d= 0.947
t=19.200 psi=-25.200 ksi=230.400 v_p=0.000  d= 0.947
t=19.350 psi=-26.100 ksi=232.200 v_p=0.000  d= 0.947
t=19.500 psi=-27.000 ksi=234.000 v_p=0.000  d= 0.947
t=19.650 psi=-27.900 ksi=235.800 v_p=0.000  d= 0.947
t=19.800 psi=-28.800 ksi=237.600 v_p=0.000  d= 0.947
t=19.950 psi=-29.700 ksi=239.400 v_p=0.000  d= 0.947
t=20.100 psi=-30.600 ksi=241.200 v_p=0.000  d= 0.947
t=20.250 psi=-31.500 ksi=243.000 v_p=0.000  d= 0.947
t=20.400 psi=-32.400 ksi=244.800 v_p=0.000  d= 0.947
t=20.550 psi=-33.300 ksi=246.600 v_p=0.000  d= 0.947
t=20.700 psi=-34.200 ksi=248.400 v_p=0.000  d= 0.947
t=20.850 psi=-35.100 ksi=250.200 v_p=0.000  d= 0.947
t=21.000 psi=-36.000 ksi=252.000 v_p=0.000  d= 0.947
t=21.150 psi=-36.900 ksi=253.800 v_p=0.000  d= 0.947
t=21.300 psi=-37.800 ksi=255.600 v_p=0.000  d= 0.947
t=21.450 psi=-38.700 ksi=257.400 v_p=0.000  d= 0.947
t=21.600 psi=-39.600 ksi=259.200 v_p=0.000  d= 0.947
t=21.750 psi=-40.500 ksi=261.000 v_p=0.000  d= 0.947
t=21.900 psi=-41.400 ksi=262.800 v_p=0.000  d= 0.947
t=22.050 psi=-42.300 ksi=264.600 v_p=0.000  d= 0.947
t=22.200 psi=-43.200 ksi=266.400 v_p=0.000  d= 0.947
t=22.350 psi=-44.100 ksi=268.200 v_p=0.000  d= 0.947
t=22.500 psi=-45.000 ksi=270.000 v_p=0.000  d= 0.947
t=22.650 psi=-45.900 ksi=271.800 v_p=0.000  d= 0.947
t=22.800 psi=-46.800 ksi=273.600 v_p=0.000  d= 0.947
t=22.950 psi=-47.700 ksi=275.400 v_p=0.000  d= 0.947
t=23.100 psi=-48.600 ksi=277.200 v_p=0.000  d= 0.947
t=23.250 psi=-49.500 ksi=279.000 v_p=0.001  d= 0.947
t=23.400 psi=-50.400 ksi=280.800 v_p=0.002  d= 0.947
t=23.550 psi=-51.300 ksi=282.600 v_p=0.004  d= 0.948
t=23.700 psi=-52.200 ksi=284.400 v_p=0.006  d= 0.949
t=23.850 psi=-53.100 ksi=286.200 v_p=0.010  d= 0.950
t=24.000 psi=-54.000 ksi=288.000 v_p=0.014  d= 0.952
t=24.150 psi=-54.900 ksi=289.800 v_p=0.019  d= 0.955
t=24.300 psi=-55.800 ksi=291.600 v_p=0.024  d= 0.959
t=24.450 psi=-56.700 ksi=293.400 v_p=0.030  d= 0.963
t=24.600 psi=-57.600 ksi=295.200 v_p=0.037  d= 0.969
t=24.750 psi=-58.500 ksi=297.000 v_p=0.045  d= 0.975
t=24.900 psi=-59.400 ksi=298.800 v_p=0.053  d= 0.983
t=25.050 psi=-60.300 ksi=300.600 v_p=0.061  d= 0.993
t=25.200 psi=-61.200 ksi=302.400 v_p=0.071  d= 1.003
t=25.350 psi=-62.100 ksi=304.200 v_p=0.080  d= 1.015
t=25.500 psi=-63.000 ksi=306.000 v_p=0.089  d= 1.029
t=25.650 psi=-63.900 ksi=307.800 v_p=0.098  d= 1.043
t=25.800 psi=-64.800 ksi=309.600 v_p=0.107  d= 1.059
t=25.950 psi=-65.700 ksi=311.400 v_p=0.116  d= 1.077
t=26.100 psi=-66.600 ksi=313.200 v_p=0.124  d= 1.095
t=26.250 psi=-67.500 ksi=315.000 v_p=0.132  d= 1.115
t=26.400 psi=-68.400 ksi=316.800 v_p=0.140  d= 1.136
t=26.550 psi=-69.300 ksi=318.600 v_p=0.148  d= 1.158
t=26.700 psi=-70.200 ksi=320.400 v_p=0.156  d= 1.182
t=26.850 psi=-71.100 ksi=322.200 v_p=0.162  d= 1.206
t=27.000 psi=-72.000 ksi=324.000 v_p=0.169  d= 1.231
t=27.150 psi=-72.900 ksi=325.800 v_p=0.176  d= 1.258
t=27.300 psi=-73.800 ksi=327.600 v_p=0.182  d= 1.285
t=27.450 psi=-74.700 ksi=329.400 v_p=0.189  d= 1.314
t=27.600 psi=-75.600 ksi=331.200 v_p=0.195  d= 1.343
t=27.750 psi=-76.500 ksi=333.000 v_p=0.200  d= 1.373
t=27.900 psi=-77.400 ksi=334.800 v_p=0.205  d= 1.403
t=28.050 psi=-78.300 ksi=336.600 v_p=0.210  d= 1.435
t=28.200 psi=-79.200 ksi=338.400 v_p=0.215  d= 1.467
t=28.350 psi=-80.100 ksi=340.200 v_p=0.220  d= 1.500
t=28.500 psi=-81.000 ksi=342.000 v_p=0.224  d= 1.534
t=28.650 psi=-81.900 ksi=343.800 v_p=0.227  d= 1.568
t=28.800 psi=-82.800 ksi=345.600 v_p=0.231  d= 1.603
t=28.950 psi=-83.700 ksi=347.400 v_p=0.234  d= 1.638
t=29.100 psi=-84.600 ksi=349.200 v_p=0.237  d= 1.673
t=29.250 psi=-85.500 ksi=351.000 v_p=0.240  d= 1.709
t=29.400 psi=-86.400 ksi=352.800 v_p=0.242  d= 1.746
t=29.550 psi=-87.300 ksi=354.600 v_p=0.244  d= 1.782
t=29.700 psi=-88.200 ksi=356.400 v_p=0.246  d= 1.819
t=29.850 psi=-89.100 ksi=358.200 v_p=0.247  d= 1.856
t=30.000 psi=-90.000 ksi=360.000 v_p=0.248  d= 1.893
t=30.150 psi=-90.900 ksi=361.800 v_p=0.249  d= 1.931
t=30.300 psi=-91.800 ksi=363.600 v_p=0.250  d= 1.968
t=30.450 psi=-92.700 ksi=365.400 v_p=0.250  d= 2.006
t=30.600 psi=-93.600 ksi=367.200 v_p=0.250  d= 2.043
t=30.750 psi=-94.500 ksi=369.000 v_p=0.249  d= 2.081
t=30.900 psi=-95.400 ksi=370.800 v_p=0.248  d= 2.118
t=31.050 psi=-96.300 ksi=372.600 v_p=0.248  d= 2.155
t=31.200 psi=-97.200 ksi=374.400 v_p=0.246  d= 2.192
t=31.350 psi=-98.100 ksi=376.200 v_p=0.245  d= 2.229
t=31.500 psi=-99.000 ksi=378.000 v_p=0.243  d= 2.265
t=31.650 psi=-99.900 ksi=379.800 v_p=0.241  d= 2.301
t=31.800 psi=-100.800 ksi=381.600 v_p=0.239  d= 2.337
t=31.950 psi=-101.700 ksi=383.400 v_p=0.236  d= 2.373
t=32.100 psi=-102.600 ksi=385.200 v_p=0.233  d= 2.408
t=32.250 psi=-103.500 ksi=387.000 v_p=0.231  d= 2.442
t=32.400 psi=-104.400 ksi=388.800 v_p=0.227  d= 2.476
t=32.550 psi=-105.300 ksi=390.600 v_p=0.224  d= 2.510
t=32.700 psi=-106.200 ksi=392.400 v_p=0.220  d= 2.543
t=32.850 psi=-107.100 ksi=394.200 v_p=0.216  d= 2.575
t=33.000 psi=-108.000 ksi=396.000 v_p=0.212  d= 2.607
t=33.150 psi=-108.900 ksi=397.800 v_p=0.208  d= 2.638
t=33.300 psi=-109.800 ksi=399.600 v_p=0.203  d= 2.669
t=33.450 psi=-110.700 ksi=401.400 v_p=0.198  d= 2.699
t=33.600 psi=-111.600 ksi=403.200 v_p=0.193  d= 2.728
t=33.750 psi=-112.500 ksi=405.000 v_p=0.189  d= 2.756
t=33.900 psi=-113.400 ksi=406.800 v_p=0.183  d= 2.783
t=34.050 psi=-114.300 ksi=408.600 v_p=0.178  d= 2.810
t=34.200 psi=-115.200 ksi=410.400 v_p=0.172  d= 2.836
t=34.350 psi=-116.100 ksi=412.200 v_p=0.166  d= 2.861
t=34.500 psi=-117.000 ksi=414.000 v_p=0.161  d= 2.885
t=34.650 psi=-117.900 ksi=415.800 v_p=0.154  d= 2.908
t=34.800 psi=-118.800 ksi=417.600 v_p=0.149  d= 2.930
t=34.950 psi=-119.700 ksi=419.400 v_p=0.142  d= 2.951
t=35.100 psi=-120.600 ksi=421.200 v_p=0.136  d= 2.972
t=35.250 psi=-121.500 ksi=423.000 v_p=0.129  d= 2.991
t=35.400 psi=-122.400 ksi=424.800 v_p=0.123  d= 3.010
t=35.550 psi=-123.300 ksi=426.600 v_p=0.116  d= 3.027
t=35.700 psi=-124.200 ksi=428.400 v_p=0.110  d= 3.044
t=35.850 psi=-125.100 ksi=430.200 v_p=0.103  d= 3.059
t=36.000 psi=-126.000 ksi=432.000 v_p=0.097  d= 3.074
t=36.150 psi=-126.900 ksi=433.800 v_p=0.090  d= 3.087
t=36.300 psi=-127.800 ksi=435.600 v_p=0.083  d= 3.100
t=36.450 psi=-128.700 ksi=437.400 v_p=0.077  d= 3.111
t=36.600 psi=-129.600 ksi=439.200 v_p=0.069  d= 3.122
t=36.750 psi=-130.500 ksi=441.000 v_p=0.063  d= 3.131
t=36.900 psi=-131.400 ksi=442.800 v_p=0.056  d= 3.140
t=37.050 psi=-132.300 ksi=444.600 v_p=0.050  d= 3.147
t=37.200 psi=-133.200 ksi=446.400 v_p=0.043  d= 3.153
t=37.350 psi=-134.100 ksi=448.200 v_p=0.036  d= 3.159
t=37.500 psi=-135.000 ksi=450.000 v_p=0.029  d= 3.163
t=37.650 psi=-135.900 ksi=451.800 v_p=0.023  d= 3.167
t=37.800 psi=-136.800 ksi=453.600 v_p=0.017  d= 3.169
t=37.950 psi=-137.700 ksi=455.400 v_p=0.013  d= 3.171
t=38.100 psi=-138.600 ksi=457.200 v_p=0.009  d= 3.173
t=38.250 psi=-139.500 ksi=459.000 v_p=0.005  d= 3.173
t=38.400 psi=-140.400 ksi=460.800 v_p=0.003  d= 3.174
t=38.550 psi=-141.300 ksi=462.600 v_p=0.001  d= 3.174
t=38.700 psi=-142.200 ksi=464.400 v_p=0.000  d= 3.174
t=38.850 psi=-143.100 ksi=466.200 v_p=0.000  d= 3.174
t=39.000 psi=-144.000 ksi=468.000 v_p=0.000  d= 3.174
t=39.150 psi=-144.900 ksi=469.800 v_p=0.000  d= 3.174
t=39.300 psi=-145.800 ksi=471.600 v_p=0.000  d= 3.174
t=39.450 psi=-146.700 ksi=473.400 v_p=0.000  d= 3.174
t=39.600 psi=-147.600 ksi=475.200 v_p=0.000  d= 3.174
t=39.750 psi=-148.500 ksi=477.000 v_p=0.000  d= 3.174
t=39.900 psi=-149.400 ksi=478.800 v_p=0.000  d= 3.174
t=40.050 psi=-150.300 ksi=480.600 v_p=0.000  d= 3.174
t=40.200 psi=-151.200 ksi=482.400 v_p=0.000  d= 3.174
t=40.350 psi=-152.100 ksi=484.200 v_p=0.000  d= 3.174
t=40.500 psi=-153.000 ksi=486.000 v_p=0.000  d= 3.174
t=40.650 psi=-153.900 ksi=487.800 v_p=0.000  d= 3.174
t=40.800 psi=-154.800 ksi=489.600 v_p=0.000  d= 3.174
t=40.950 psi=-155.700 ksi=491.400 v_p=0.000  d= 3.174
t=41.100 psi=-156.600 ksi=493.200 v_p=0.000  d= 3.174
t=41.250 psi=-157.500 ksi=495.000 v_p=0.000  d= 3.174
t=41.400 psi=-158.400 ksi=496.800 v_p=0.000  d= 3.174
t=41.550 psi=-159.300 ksi=498.600 v_p=0.000  d= 3.174
t=41.700 psi=-160.200 ksi=500.400 v_p=0.000  d= 3.174
t=41.850 psi=-161.100 ksi=502.200 v_p=0.000  d= 3.174
t=42.000 psi=-162.000 ksi=504.000 v_p=0.000  d= 3.174
t=42.150 psi=-162.900 ksi=505.800 v_p=0.000  d= 3.174
t=42.300 psi=-163.800 ksi=507.600 v_p=0.000  d= 3.174
t=42.450 psi=-164.700 ksi=509.400 v_p=0.000  d= 3.174
t=42.600 psi=-165.600 ksi=511.200 v_p=0.000  d= 3.174
t=42.750 psi=-166.500 ksi=513.000 v_p=0.000  d= 3.174
t=42.900 psi=-167.400 ksi=514.800 v_p=0.000  d= 3.174
t=43.050 psi=-168.300 ksi=516.600 v_p=0.000  d= 3.174
t=43.200 psi=-169.200 ksi=518.400 v_p=0.000  d= 3.174
t=43.350 psi=-170.100 ksi=520.200 v_p=0.000  d= 3.174
t=43.500 psi=-171.000 ksi=522.000 v_p=0.000  d= 3.174
t=43.650 psi=-171.900 ksi=523.800 v_p=0.000  d= 3.174
t=43.800 psi=-172.800 ksi=525.600 v_p=0.000  d= 3.174
t=43.950 psi=-173.700 ksi=527.400 v_p=0.000  d= 3.174
t=44.100 psi=-174.600 ksi=529.200 v_p=0.000  d= 3.174
t=44.250 psi=-175.500 ksi=531.000 v_p=0.000  d= 3.174
t=44.400 psi=-176.400 ksi=532.800 v_p=0.000  d= 3.174
t=44.550 psi=-177.300 ksi=534.600 v_p=0.000  d= 3.174
t=44.700 psi=-178.200 ksi=536.400 v_p=0.000  d= 3.174
t=44.850 psi=-179.100 ksi=538.200 v_p=0.000  d= 3.174
t=45.000 psi=-180.000 ksi=540.000 v_p=0.000  d= 3.174
t=45.150 psi=-180.900 ksi=541.800 v_p=0.000  d= 3.174
t=45.300 psi=-181.800 ksi=543.600 v_p=0.000  d= 3.174
t=45.450 psi=-182.700 ksi=545.400 v_p=0.000  d= 3.174
t=45.600 psi=-183.600 ksi=547.200 v_p=0.000  d= 3.174
t=45.750 psi=-184.500 ksi=549.000 v_p=0.000  d= 3.174
t=45.900 psi=-185.400 ksi=550.800 v_p=0.000  d= 3.174
t=46.050 psi=-186.300 ksi=552.600 v_p=0.000  d= 3.174
t=46.200 psi=-187.200 ksi=554.400 v_p=0.000  d= 3.174
t=46.350 psi=-188.100 ksi=556.200 v_p=0.000  d= 3.174
t=46.500 psi=-189.000 ksi=558.000 v_p=0.000  d= 3.174
t=46.650 psi=-189.900 ksi=559.800 v_p=0.000  d= 3.174
t=46.800 psi=-190.800 ksi=561.600 v_p=0.000  d= 3.174
t=46.950 psi=-191.700 ksi=563.400 v_p=0.000  d= 3.174
t=47.100 psi=-192.600 ksi=565.200 v_p=0.000  d= 3.174
t=47.250 psi=-193.500 ksi=567.000 v_p=0.000  d= 3.174
t=47.400 psi=-194.400 ksi=568.800 v_p=0.000  d= 3.174
t=47.550 psi=-195.300 ksi=570.600 v_p=0.000  d= 3.174
t=47.700 psi=-196.200 ksi=572.400 v_p=0.000  d= 3.174
t=47.850 psi=-197.100 ksi=574.200 v_p=0.000  d= 3.174
t=48.000 psi=-198.000 ksi=576.000 v_p=0.000  d= 3.174
t=48.150 psi=-198.900 ksi=577.800 v_p=0.000  d= 3.174
t=48.300 psi=-199.800 ksi=579.600 v_p=0.000  d= 3.174
t=48.450 psi=-200.700 ksi=581.400 v_p=0.000  d= 3.174
t=48.600 psi=-201.600 ksi=583.200 v_p=0.000  d= 3.174
t=48.750 psi=-202.500 ksi=585.000 v_p=0.000  d= 3.174
t=48.900 psi=-203.400 ksi=586.800 v_p=0.000  d= 3.174
t=49.050 psi=-204.300 ksi=588.600 v_p=0.000  d= 3.174
t=49.200 psi=-205.200 ksi=590.400 v_p=0.000  d= 3.174
t=49.350 psi=-206.100 ksi=592.200 v_p=0.000  d= 3.174
t=49.500 psi=-207.000 ksi=594.000 v_p=0.000  d= 3.174
t=49.650 psi=-207.900 ksi=595.800 v_p=0.000  d= 3.174
t=49.800 psi=-208.800 ksi=597.600 v_p=0.000  d= 3.174
t=49.950 psi=-209.700 ksi=599.400 v_p=0.000  d= 3.174
t=50.100 psi=-210.600 ksi=601.200 v_p=0.000  d= 3.174
t=50.250 psi=-211.500 ksi=603.000 v_p=0.000  d= 3.174
t=50.400 psi=-212.400 ksi=604.800 v_p=0.000  d= 3.174
t=50.550 psi=-213.300 ksi=606.600 v_p=0.000  d= 3.174
t=50.700 psi=-214.200 ksi=608.400 v_p=0.000  d= 3.174
t=50.850 psi=-215.100 ksi=610.200 v_p=0.000  d= 3.174
t=51.000 psi=-216.000 ksi=612.000 v_p=0.000  d= 3.174
t=51.150 psi=-216.900 ksi=613.800 v_p=0.000  d= 3.174
t=51.300 psi=-217.800 ksi=615.600 v_p=0.000  d= 3.174
t=51.450 psi=-218.700 ksi=617.400 v_p=0.001  d= 3.174
t=51.600 psi=-219.600 ksi=619.200 v_p=0.003  d= 3.175
t=51.750 psi=-220.500 ksi=621.000 v_p=0.005  d= 3.175
t=51.900 psi=-221.400 ksi=622.800 v_p=0.009  d= 3.177
t=52.050 psi=-222.300 ksi=624.600 v_p=0.013  d= 3.179
t=52.200 psi=-223.200 ksi=626.400 v_p=0.017  d= 3.181
t=52.350 psi=-224.100 ksi=628.200 v_p=0.023  d= 3.185
t=52.500 psi=-225.000 ksi=630.000 v_p=0.030  d= 3.189
t=52.650 psi=-225.900 ksi=631.800 v_p=0.036  d= 3.195
t=52.800 psi=-226.800 ksi=633.600 v_p=0.043  d= 3.201
t=52.950 psi=-227.700 ksi=635.400 v_p=0.050  d= 3.209
t=53.100 psi=-228.600 ksi=637.200 v_p=0.056  d= 3.217
t=53.250 psi=-229.500 ksi=639.000 v_p=0.063  d= 3.226
t=53.400 psi=-230.400 ksi=640.800 v_p=0.069  d= 3.237
t=53.550 psi=-231.300 ksi=642.600 v_p=0.077  d= 3.248
t=53.700 psi=-232.200 ksi=644.400 v_p=0.083  d= 3.261
t=53.850 psi=-233.100 ksi=646.200 v_p=0.090  d= 3.274
t=54.000 psi=-234.000 ksi=648.000 v_p=0.097  d= 3.289
t=54.150 psi=-234.900 ksi=649.800 v_p=0.104  d= 3.304
t=54.300 psi=-235.800 ksi=651.600 v_p=0.110  d= 3.321
t=54.450 psi=-236.700 ksi=653.400 v_p=0.116  d= 3.338
t=54.600 psi=-237.600 ksi=655.200 v_p=0.123  d= 3.357
t=54.750 psi=-238.500 ksi=657.000 v_p=0.129  d= 3.376
t=54.900 psi=-239.400 ksi=658.800 v_p=0.136  d= 3.397
t=55.050 psi=-240.300 ksi=660.600 v_p=0.142  d= 3.418
t=55.200 psi=-241.200 ksi=662.400 v_p=0.149  d= 3.440
t=55.350 psi=-242.100 ksi=664.200 v_p=0.154  d= 3.463
t=55.500 psi=-243.000 ksi=666.000 v_p=0.160  d= 3.488
t=55.650 psi=-243.900 ksi=667.800 v_p=0.166  d= 3.512
t=55.800 psi=-244.800 ksi=669.600 v_p=0.172  d= 3.538
t=55.950 psi=-245.700 ksi=671.400 v_p=0.178  d= 3.565
t=56.100 psi=-246.600 ksi=673.200 v_p=0.183  d= 3.592
t=56.250 psi=-247.500 ksi=675.000 v_p=0.189  d= 3.621
t=56.400 psi=-248.400 ksi=676.800 v_p=0.193  d= 3.650
t=56.550 psi=-249.300 ksi=678.600 v_p=0.198  d= 3.679
t=56.700 psi=-250.200 ksi=680.400 v_p=0.203  d= 3.710
t=56.850 psi=-251.100 ksi=682.200 v_p=0.208  d= 3.741
